               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057062,            0.014437,                   0,             0.70085,             0.35234,             0.41281,             0.18608,            0.080159,            0.069987,                   0,           0.0033327,           0.0033327,            0.070006
                   1,            0.043878,            0.011924,                   0,             0.80424,             0.30967,             0.41623,             0.21452,             0.07799,            0.078961,                   0,            0.006336,            0.006336,            0.039676
